,text
24,"<price>22<rating>87<whiskey>MacQueens of Scotland 12 year old, 40%<review>A delicate blend that manages to express richness in its simplicity. Perfumy and floral on the nose. On the palate, coconut, marzipan, and golden raisin flavors show the grain component, but they’re buttressed by chocolate, strawberries, and orange oil, leading into a satisfying oak and chocolate-orange finish. (Total Wine & More)"
25,"<price>43<rating>90<whiskey>The Lost Distillery Company Classic Selection Towiemore, 43%<review>Built between Keith and Dufftown in 1898, but closed at the start of the 30s, Towiemore’s warehouses were still in use until 1993. Fresh peaches and fragrant florals, rich orange, roasted almond chips, and hazelnut. Glenrothes connoisseurs will appreciate this one. Mellow and nutty with a good supple texture; baked peach, dried peel, mango, and light spices, with a candied peel and spice finish."
26,"<price>108<rating>83<whiskey>Kilchoman 100% Islay 4th Edition, 59%<review>A distillate of Islay-grown barley, made in 2009-10 and aged in bourbon wood. Here’s an intense Kilchoman with a licorice root sweetness mixed with dried seaweed, machair (beach pasture), cereal, and herbal smoke. The palate is slightly oily and hot when neat, with a distinct mineral edge. Water shows its youth but also allows tarragon and wormwood to develop. £64"
27,"<price>25<rating>82<whiskey>Popcorn Sutton’s Tennessee White Whiskey, 46.5%<review>Clean nose, hard grain, some grassy sweetness, a bit perfumey. Interesting on the tongue: grain, sweet orange, and meadow grass; has a pleasantly creamy texture. Gets just a bit solvent-touched at the finish, but overall, an interesting sip…which brings up the question again: what are these ‘white whiskeys’ for? Cocktails, highballs, neat sipping? This one, I think, could pull off all three, the kind of white whiskey that compares to white rum. Sourced whiskey."
28,"<price>165<rating>91<whiskey>Blackadder 11 year old Raw Cask Balmenach 2008 Single Cask (Cask No. 14), 58.5%<review>Charred oak meets grape jelly, with aromas of crushed almonds, dried blueberries, new car leather, dark chocolate-covered raisins, and a whole lot of vanilla. In the mouth it’s chewy and well-textured; add water and it turns velvety. The water brings out better balance as well, tempering the very active cask and buttressing berry, orange, cinnamon-chocolate, and espresso bean. More coffee bean, cinnamon-dusted pecans, dark chocolate, raspberry coulis, and hints of tobacco on the finish. A scotch for bourbon lovers. (268 bottles; 90 for U.S.)"
29,"<price>420<rating>92<whiskey>Bruichladdich 26 year old Black Art 1990 (Edition 06.1), 46.9%<review>Tangerines on the nose, then Turkish Delight, sliced cucumber, new leather, toffee, soft spices, and a hint of char. Mouth-coating, with sweet orchard fruits dipped in cream. Sharper fruit notes in time, with almonds and ginger. Icing sugar, milk chocolate, spicy oak, a fleeting savory note, and lingering fruitiness in the finish. Shows well-integrated character. (18,000 bottles) Collectibles"
30,"<price>170<rating>90<whiskey>Duncan Taylor 29 year old Rare Auld Grain 1989 (distilled at Strathclyde), 53%<review>Here’s a grain that mellowed as it matured, wrapping itself in the wood while retaining its distinctive character. Nectarine, cilantro stalks, celery tops, gently herbal, candied lemon slices, and Jaffa cakes on the nose. Warm buttery flavors initially, with citrus, herbal notes, and energetic spices leading to a finish of soft ripe fruits and cinnamon. Really worth the experience; try playing with the dilution to control the spiciness."
31,"<price>40<rating>80<whiskey>Arran Single Malt, 46%<review>Highland (Isle of Arran) single malt scotch Color: Straw Gold Aroma: Youthful. Pears in syrup, honeysuckle, and vanilla with a hint of caramel and citrus. Palate: Vibrant, somewhat youthful flavors that echo its aroma, finishing slightly sweet and a little fiery (because of its age). General Comments: The lack of chill-filtering certainly makes this whisky more flavorful and dynamic than its filtered brethren. It also tastes a little more mature. This shows how a whisky can be affected by chill-filtering. I expect this whisky to continue improving with additional aging. Available nationwide."
32,"<price>145<rating>89<whiskey>Glen Scotia 21 year old, 46%<review>The nose offers tinned peaches, fresh ginger, and a slightly herbal note. The palate is voluptuous, with vanilla, malt, vigorous spices, and white chocolate. Lingering coffee and gingery oak in the finish. "
33,"<price>34<rating>85<whiskey>Gun Fighter Double Cask Rye, 50%<review>Orange, mango, strawberry candy, and licorice on the nose, while water brings out watermelon, more mango, and a soft wood note. A light palate offers fruitcake, orange, blackberry, chocolate, almond, gingersnaps, tobacco, and cedar spice. A finish of vanilla, orange, and more tobacco, with water bringing out hot chocolate, orange, burnt espresso beans, and drying oak. Orangey and tropical at the outset, but also deep and nutty, particularly on the finish."
34,"<price>80<rating>92<whiskey>Booker’s 2019-04 “Beaten Biscuits” Kentucky Straight Bourbon, 63.05%<review>Fragrant oak on the nose, along with powdered sugar, vanilla fudge, cherry pie, and accents of orange peel and leather. The palate offers notes of orange Creamsicle, pepper, dried oranges, and cigar wrapper. The finish is a long ride of spice and chocolate-covered almonds, melding with cooked fruit notes of orange and black cherry, as well as cracked pepper. A robust whiskey that carries its heft gracefully, and offers balanced complexity."
35,"<price>35<rating>88<whiskey>Mars Iwai, 40%<review>The original Iwai pot stills from the 1960s have been retired and now stand outside the Mars Shinshu Distillery. Cajoled by the savory, almost gamey aromas assimilated with brown apple and old strawberries, the whisky is surprisingly candy sweet to the taste. Dark jellied fruits: first Rowntree’s Fruit Gums, then Fruit Pastilles. Hazelnut, gentle oriental spices, and chicory coffee usher in a deep, fruity finish with creamy chocolate and fresh mint."
36,"<price>201<rating>80<whiskey>Duncan Taylor Dimensions Range (distilled at Mortlach) 1989, 55.8%<review>There’s a Roman dish involving lamb cooked in milk, and this is it in alcohol form. A slightly peculiar lactic note rises and falls above the rich meatiness of the spirit. There’s a hit of pencil shavings, but with water it becomes cheesy. So much more straightforward on the tongue with good vinous weight, like an old Vin Jaune. It finishes with earthy tones. It’s just…odd. £125"
37,"<price>250<rating>78<whiskey>Parker’s Heritage (distilled Fall 1990) 24 year old, 50%<review>Non-chill filtered plus a lot of age equals oak meeting caramel, vanilla, earth, nuttiness, and mildew. Slight hints of anise, rose petals, tree bark, and overcooked rice, before over-oaked flavor dominates with medicinal notes and soap. Bitterness, earth, and a saving grace of herbs follow for a decent, albeit woody finish. This is simply over-oaked. I’d love to have tasted this bottled three to seven years ago."
38,"<price>36<rating>90<whiskey>Drambuie, 40%<review>Intriguing herbal/medicinal nose, with notes of pepper, grass, dried hay, dried flowers, orange peel, and licorice. Sweet but lively and light on the palate, as the orange explodes and the whisky boldly appears, wrapped in honey and herbs. The finish is herbal and sweet as the whisky strolls off into the distance. Overall, quite complex and rewarding."
39,"<price>280<rating>86<whiskey>Chieftain’s (distilled at Port Ellen), 1982 vintage, 25 year old, 43%<review>Port Ellen whiskies are getting pretty rare (and expensive). This one is softer and less vibrant than others that I’ve tasted, but still very much Port Ellen, and still enjoyable! Notes of coal tar, rooty licorice, toffee, dark chocolate, and nougat, with background citrus gumdrops, ginger, brine, seaweed, peat bog, and damp oak. I think bottling this at 46% without chill-filtering, or perhaps even cask-strength, would have helped the flavors “zing"" (and elevated my rating)."
40,"<price>294<rating>92<whiskey>The Macallan 18 year old Sherry Oak (2017 Edition), 43%<review>The latest annual limited release is classic and sure to please true aficionados of Macallan. Stewed fruit and old leather on the nose, along with ripe cherries, gingersnaps, and black pepper, before orange marmalade notes develop. Full-bodied, with fragrant sweet orange, milk chocolate-coated Turkish delight, and faint smoke. The finish yields dark chocolate, cherry liqueur, and more pepper. Long and spicy."
41,"<price>130<rating>93<whiskey>Balcones Brujeria Sherry Cask-Finished Single Malt (Batch 18-1), 62.9%<review>The oloroso and Pedro Ximénez sherry casks that this whiskey was finished in present themselves right up front, with raisins, dried figs, marmalade, blackcurrants, leather, cinnamon, allspice, and dried chile on the nose. The full, somewhat tannic palate is savory and sweet all at once, juxtaposing dark fruit, ample spice, figs, raisins, and marmalade with hazelnuts, almonds, mole sauce, and tobacco. Transitioning into the finish, peppery spice, dried fruit, dark chocolate, mocha, cigar, and rich oak highlight the finesse and balance this whiskey pulls off with aplomb."
42,"<price>135<rating>93<whiskey>Macallan 15 year old Double Cask, 43%<review>

The iconic producer of lush sherried malts delivers again. Employing the same technique of marrying whiskies aged in sherry-seasoned casks of both American and European oak that landed the 12 year old in our 2017 Top 20 has resulted in a truly decadent dram—richly nutty and fruity, with dried apples, cherries, and prunes. The palate is wonderfully luscious, supple, and chewy, delivering mouth-coating waves of fruit that remain for minutes on end, before a long farewell of lingering, warming spice. Impressive and irresistibly good. Number 16 in the 2020 Top 20"
43,"<price>56<rating>80<whiskey>Glen Moray Elgin Classic, 40%<review>The onionskin hue gives the initial indication that this was finished in a port pipe. The nose is light and fruity: raspberry and cranberry juice, even a sprig of mint. Fresh, but with a background funkiness. In time, there’s ripe melon, then lightly musty wood comes through. The palate is light, giving the effect of diluted fruit juice. It’s all just a bit lacking in weight. £25"
44,"<price>400<rating>90<whiskey>St. George XXX Anniversary Malt, 46%<review>Some of the oldest American malt whiskey joins this 30th anniversary mingling, finished in a pear eau de vie barrel, a nod to the distillery’s origins. The nose is elegant, deep, and clearly touched by the pear and oak. There’s creaminess in the mouth, a perfect weight, rich nutty sweetness balanced by wood; it all slides into a warming finish, and pear is all around. A bit too much pear, actually; though I love pears, that’s my one complaint."
45,"<price>70<rating>90<whiskey>Colonel E.H. Taylor Jr. Warehouse C Tornado Surviving, 50%<review>The third Taylor release, and the gentlest, most even-keeled of the three. Black raspberry, mulberry, maple syrup, oak resin, dates, soft leather, and spice (mint, cinnamon, clove, vanilla) round out the palate. Very drinkable for 100 proof, and with plenty of character."
46,"<price>40<rating>90<whiskey>Trader Joe’s Glen Moray 16 year old Speyside (Distilled in 2001), 40%<review>Layers of rich fruit pervade the nose—plums in syrup, mango, guava, peach, dried kiwi—along with white pepper, ginger, and tobacco leaf. Those same fruits tumble over each other on the palate, which is light but complex, with gentle spice, cigar wrapper, dark chocolate, and slightly drying oak. The finish, though light, retains length through chocolate, tobacco, and polished oak flavors. This tastes remarkably good at its low proof, but what a thing it would be at 46%. (Trader Joe’s)"
47,"<price>65<rating>92<whiskey>Forty Creek Confederation Oak Reserve Small Batch (Lot 1867 L), 40%<review>A complex nose with citrus fruits, hints of sultanas, barrel tones, mild vanilla, butterscotch, and manuka honey. The sweetish palate is rich in stone fruits—peaches and apricots that merge into a vaguely pithy nuttiness, then dried Mediterranean fruits: dates and figs. Classic slippery corn sweetness complements hot, sweet rye spices. Ends in a medium, vaguely oaky, smoky finish."
48,"<price>55<rating>92<whiskey>Glenmorangie 14 year old Quinta Ruban, 46%<review>This Quinta Ruban succeeds the 12 year old version, adding two additional years of finishing in port casks, while maintaining the same bargain price. The result is a symphony of understated opulence. Marzipan, fresh apple and pear, milk chocolate, red berries, candied ginger, and praline on the nose build slowly, leading into a fruity, spiced palate. Flavors of soft gingerbread, molasses cake, cherry pie, spiced plums, almond nougat, and dark chocolate intermingle with faint strains of pipe tobacco. It sings on the finish, with a parting crescendo of hazelnut, spice, cigar wrapper, and lengthy oak. Number 9 in the 2019 Top 20"
49,"<price>35<rating>86<whiskey>The Famous Grouse Malt Whisky, 12 year old, 40%<review>Lovely balance on the nose and palate. Soft and gently textured, too. The sweetness of the whisky (honey, fruit gum drops, and malty vanilla), dovetail nicely with light, bright citrus and teasing dried spices. Heather/floral notes enhance the whisky’s complexity. Clean, delicately polished oak finish. A very versatile, inexpensive, easy-drinking whisky. 
"
50,"<price>40<rating>87<whiskey>Glenmorangie Original, 43%<review>Original is eager to please, yet not lacking complexity. A soft nose features honey, vanilla, sweet orange, and caramel. Hazelnuts dipped in honey and more orange, along with red apples on the rounded, buttery palate. Vanilla and cocoa powder in the lightly spiced finish, which boasts just a hint of smoke."
51,"<price>2500<rating>93<whiskey>Teeling Vintage Reserve 29 year old Single Malt PX Finish, 46%<review>Lean green fruits and dry spices, with fresh Comice pear, honeydew melon, lychee, toasted sesame, cardamom, banoffee pie, creamy vanilla, and delicate, perfumed florals. The PX has framed this beautifully with flavors of sultana, shortbread, apple, pear, clove, and black pepper, with the orchard fruits and spices fading into the finish. This has aged gracefully and shows the great potential for long-aged Irish whiskeys. (100 bottles, U.S. exclusive)"
52,"<price>55<rating>89<whiskey>Brenne Estate Cask (Cask #258), 40%<review>Brenne is from the Cognac region of France and is becoming an American success story, having been launched stateside by Allison Patel, but little known elsewhere. After 6 years in French oak, 2 years in a Cognac barrel, and reduced by the local water to 40%, the result is a delicate, almost floral, eucalyptus and rosewater delight, with honeycomb and sweet spice. Very different from a standard malt, but very good all the same."
53,"<price>42<rating>88<whiskey>Woodinville Straight 100% Rye, 45%<review>Peach, blueberry, candied raspberry, and lime lead the way, with marzipan and a background of peppery spice aromas set artfully against soft, subtle wood. A mouth-filling palate offers lemon and raspberry, along with ginger, cinnamon, chocolate, and honey. Water coaxes tropical notes of melon and pineapple. The finish is peppery, with caramel and chocolate flowing over pleasant oak overtones. A rye that strikes an excellent balance between fruit, sweetness, and spice."
54,"<price>90<rating>91<whiskey>Tamdhu Batch Strength (#004), 57.8%<review>Aromas of newsprint, damp foliage, and wood spice dominate on the nose. Confident, almost fizzy sherry notes on the full palate, with sultanas, figs, and fruit spices. It becomes progressively more citric. The lengthy finish produces dark chocolate dipped in chili sauce. A sherry-soaked dram."
55,"<price>275<rating>92<whiskey>Gordon & MacPhail (distilled at Strathisla), 1963, 40%<review>Some of these old G&M Strathisla whiskies are quite lovely, and this is one of them. It’s gently sherried, soothingly oily in texture, and complex, with notes of maple syrup, candied fruit, plum, roasted nuts, polished leather, and old oak, along with some damp earth, coffee bean, cinnamon, mint, and subtle, teasing kiln smoke. It’s soft, rounded, and still holds up nicely for a 44 year old whisky. If you like old, sherried Speysiders that aren’t overly oaked or sherried, you’ll like this one. If only it was bottled at 43% or 46% (or at natural cask strength, if it was less than 43%). It would give the whisky a little more backbone, and I might have bumped my rating up to the mid-90s. 
"
56,"<price>65<rating>95<whiskey>George T. Stagg, 70.7%<review>Like the William Larue Weller releases a couple years back, I felt that the Stagg releases (after being brought down in strength) were almost too easy-going. Like the new Weller release, this bourbon has improved greatly, to classic status. Clean, balanced notes of toffee, molasses, nougat, polished leather, dates, roasted nuts, cinnamon, subtle summer fruits, teasing mint, ground coffee, nutmeg, and a hint of tobacco. Long, balanced finish. An outstanding bourbon!"
57,"<price>89<rating>83<whiskey>Glenlivet Nadurra Islay Cask, 61.5%<review>The aim here was to recreate the style of malt made by George Smith, but rather than running peated malt, Chivas Bros. has aged the spirit in Islay casks (not what George would have done). On the upside, this is a classic Nadurra: estery fruits with pineapple to the fore, freesia, pear, and fresh apple, the smoke giving subtle gun-flint notes to the palate. I like it as a dram, but it’s wimped out of what was intended. Marked accordingly."
58,"<price>20<rating>82<whiskey>Wild Turkey 81, 40.5%<review>Comprised of bourbon aged 6 to 8 years old (and seems closer to 6 than 8). This new, fairly bold for 81 proof whiskey, while drinkable neat or with a splash of water, really works best as a mixer. Very traditional bourbon notes of caramel, vanilla, mint, cinnamon, sweet corn, and orchard fruit."
59,"<price>107<rating>86<whiskey>Southern Coast Malt Cask 5, 46%<review>I'm not sure that if you loved Cask 4 you'd be so pleased with Cask 5, because it's completely different. This has the shadow of Bill Lark all over it, with big, over-cooked red apple flavors combining with walnut oil, orange liqueur, treacle toffee, stewed berries, and some oaky astringency. It's rich, full, complex, and a grower — and I can feel a new love affair starting right here. A$110"
60,"<price>240<rating>94<whiskey>Single Malts of Scotland 21 year old Ardmore 1998 Single Cask (Cask No. 750753), 50.2%<review>Exhibit A for never judging a whisky by its color: This straw-pale malt shows depth and complexity many sherry-dark whiskies would envy. The nose is briny and smoky, with a seaweed character; lemon poppyseed muffin and almond cake are present without water. Add a few drops, however, and fresh orchard fruit emerges, sweet and clean, and carries into the rounded, silky palate where it mingles with salt water, black pepper, a squeeze of lemon, and smoky peat. Good length on the finish, which has oak, nuts, and cigar wrapper. A paragon of balance. (240 bottles)"
61,"<price>100<rating>82<whiskey>The Exclusive Malts Blend of Malts 20 year old 1994, 50%<review>Whiskies from undisclosed Speyside and Highland distilleries are blended together in first-fill sherry butts. On the nose it’s an alluring blend of orange, cherry, toffee, salt, and ginger. The entry follows the nose with toffee, orange, ginger, and malt. Things begin to drop off in the mid-palate, which is very focused on salt and ginger, with strong alcohol undertones. The alcohol drives and defines a dry finish that's absent of much of what's so alluring about this whisky. (U.S. only)"
62,"<price>8000<rating>90<whiskey>The Dalmore 1979 33 year old, 48.5%<review>This expression of The Dalmore Constellation spent its entire 33 years of maturation in an ex-bourbon cask, with no additional finishing. The result is a nose of ripe peaches and pears, honey, and vanilla. Full-bodied, rich, sweet, elegant, yet substantial on the palate, with pineapples and fudge. Oak and aniseed slowly build, but the wood is held at bay. Long and warming in the finish, with soft spices. Barely drying. Cask number 594; 199 bottles."
63,"<price>35<rating>80<whiskey>High West American Prairie Bourbon (Batch #16B16), 46%<review>A blend of straight bourbons. Light straw color. An expressive dark cherry, cooked grains, and wood nose opens up to a bevy of custard, roasted pine nuts, and herbs, with hints of tobacco and smoked hazelnuts. A grain-forward approach leaves it slightly unbalanced, until roasted nuts save the day with a tinge of vanilla and caramel-flavored popcorn. Sourced whiskey."
64,"<price>98<rating>84<whiskey>Mackmyra Special Number 07, 45.8%<review>The Mackmyra success story just goes on and on. There have now been more Specials than bottlings of Privus or Preludium, and the whisky makers seem to have hit upon a trademark taste that they tweak with each bottling. It's a mix of salt, pepper, citrus, and vanilla, and here the vanilla is at its most subdued and the salt is at its highest. That makes this challenging to anyone unfamiliar with the Mackmyra brand. SEK 649"
